date,confirmed,deaths,recovered,new_confirmed
2020-03-01,74,1,7,6
2020-03-02,98,6,7,24
2020-03-03,118,7,7,20
2020-03-04,149,11,7,31
2020-03-05,217,12,7,68
2020-03-06,262,14,7,45
2020-03-07,402,17,7,140
2020-03-08,518,21,7,116
2020-03-09,583,22,7,65
2020-03-10,959,28,8,376
2020-03-11,1281,36,8,322
2020-03-12,1663,40,12,382
2020-03-13,2179,47,12,516
2020-03-14,2727,54,12,548
2020-03-15,3499,63,12,772
2020-03-16,4632,85,17,1133
2020-03-17,6421,108,17,1789
2020-03-18,7783,118,105,1362
2020-03-19,13677,200,121,5894
2020-03-20,19100,244,147,5423
2020-03-21,25489,307,176,6389
2020-03-22,33276,417,178,7787
2020-03-23,43847,557,178,10571
2020-03-24,53740,706,348,9893
2020-03-25,65778,942,361,12038
2020-03-26,83836,1209,681,18058
2020-03-27,101657,1581,869,17821
2020-03-28,121478,2026,1072,19821
2020-03-29,140886,2467,2665,19408
